post_id,likes,shares,comments,post_type,views,description,username,datetime
1,188,269,232,video,8391,"""Get ready for a cinematic escape! From iconic blockbusters to hidden gems, we're diving into the world of movies that will leave you on the edge of your seat. What's your favorite film? Let us know in the comments below! #MovieLover #FilmFrenzy""",@CodeWithDubeyji,2024-11-19 09:00:00
2,17,389,274,reels,7696,"""Get ready to groove! Discover the incredible stories behind iconic songs, from legendary artists who poured their hearts into timeless classics. Let's dive into the emotions, memories, and inspirations that make music so powerful - follow along for a sonic journey you won't forget!""",@tech_guru,2024-09-28 17:00:00
3,414,299,235,video,46274,"""Get lost in the pages of your new favorite book! From timeless classics to modern bestsellers, discover hidden gems and get swept away by captivating stories that will change your life. What's on your reading list? Share with us!""",@CodeWithDubeyji,2024-12-01 16:00:00
4,891,406,182,static image,9719,"""Get lost in the melodies, rediscover old favorites, or discover new sounds! Music has a way of transporting us to another time and place. What's your go-to playlist for a relaxing evening, an intense workout, or a spontaneous dance party? Share with us your favorite tunes and let's get the conversation started!""",@foodie_lover,2024-10-07 19:00:00
5,650,478,67,video,27066,"""Get lost in the pages of a great book! Discover your new favorite author, escape into a world of fantasy or reality, and experience the magic that happens when words come alive. What's on your bookshelf? #BookLoversUnite #ReadingIsLife""",@CodeWithDubeyji,2024-10-04 12:00:00
6,89,203,195,video,29667,"""Get lost in the pages of a good book! What's your favorite read to escape into on a rainy day? Share with us your go-to book recommendations and let's discuss what makes a story truly unforgettable! #BookLovers #ReadingIsLife #CozyVibes""",@music_fanatic,2024-12-20 04:00:00
7,217,143,150,video,43389,"""Get ready to level up! The latest advancements in AI & robotics are revolutionizing industries from healthcare to transportation. Imagine robots that can heal wounds, deliver vaccines, and even fly taxis - the future is here and it's more incredible than you think! #TechRevolution #FutureIsNow""",@music_fanatic,2024-11-02 06:00:00
8,187,128,292,carousel,14848,"""Get ready to sweat! From record-breaking marathons to nail-biting football matches, we're counting down the most electrifying moments in sports history. Which one will make our list? Stay tuned for a thrilling ride filled with drama, triumph, and heart-stopping action!""",@tech_guru,2024-10-20 06:00:00
9,832,111,142,live stream,34682,"""Just devoured the most epic chicken Parmesan sandwich of my life! Crispy bread, juicy chicken, melted mozzarella, and a side of garlic knots - this Italian feast left me speechless! Who else is craving pasta and pizza tonight? #foodcoma #italianfood #yum""",@GaneshMishra-lab,2024-09-19 12:00:00
10,30,86,243,carousel,4495,"""Just devoured the most mouthwatering Korean BBQ tacos at my favorite food truck! The spicy kick from the kimchi sauce paired perfectly with the tender beef and crunchy slaw. Anyone else craving some adventurous eats tonight?""",@CodeWithDubeyji,2024-12-31 09:00:00
11,546,165,137,static image,24630,"""Get ready for a cinematic escape! From blockbuster hits to classic throwbacks, we're counting down the top 10 most iconic movie quotes that will have you quoting along in no time!""",@tech_guru,2024-09-18 13:00:00
12,346,262,280,video,24958,"""Music has the power to evoke emotions, spark memories, and bring people together. What's your favorite song that instantly transports you to another time and place? Share with us in the comments below! #MusicLovers #SoundtrackOfLife""",@GaneshMishra-lab,2024-10-10 09:00:00
13,777,400,212,live stream,36964,"""Get ready to sweat! Join me as I count down my top 5 most epic athletic moments that'll leave you on the edge of your seat! From record-breaking stunts to jaw-dropping comebacks, I'm sharing the most unforgettable sports moments that still give me goosebumps!""",@foodie_lover,2024-10-21 00:00:00
14,474,57,49,carousel,49939,"""Get lost in a world of wonder! Discover new authors, revisit old favorites, and escape reality with our curated book recommendations. What's your favorite book of all time? Share with us and let's get the conversation started!""",@Dark-Knight499,2024-10-22 13:00:00
15,805,329,192,reels,2760,"""Get ready for a cinematic escape! What's your favorite movie genre? From action-packed blockbusters to heartwarming rom-coms, we want to know! Share with us your go-to movie picks and let's discuss the ultimate film showdown!""",@Dark-Knight499,2024-12-20 02:00:00
